audit_id,rubric_version,judge_model,judge_groundedness,judge_actionability,judge_tone,judge_safety,judge_accept,judge_critical_errors,judge_cited_evidence_ids,judge_rationale
AUD-070,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft fails to address the required points regarding whether songs are missing entirely, where they are missing, or checking the web player. It is too brief to be fully actionable."
AUD-063,reply-rubric-v1,gemini-3.5-flash-lite,5.0,4.0,5.0,5.0,True,[],"[""651747"", ""1264687""]","The draft acknowledges the customer's frustration, clearly states the college-only eligibility based on evidence, and handles the hostile tone professionally without making forbidden claims."
AUD-112,reply-rubric-v1,gemini-3.5-flash-lite,5.0,2.0,3.0,5.0,False,[],[],"The draft fails to address the required points of clarifying the currency, price, screen, or offering language support, resulting in low actionability."
AUD-104,reply-rubric-v1,gemini-3.5-flash-lite,3.0,4.0,4.0,3.0,True,[],"[""609612""]","Draft appropriately acknowledges the user's need and routes them via a secure DM channel to handle the account disconnection, aligning with historical evidence and required points."
AUD-012,reply-rubric-v1,gemini-3.5-flash-lite,5.0,5.0,5.0,5.0,True,[],[],"The draft properly asks for details without guessing the problem or requesting sensitive info, fulfilling the required points cleanly and safely."
AUD-088,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft misses required points regarding the user's devices and fails to ask for specific error details, offering only a generic escalation instead of direct troubleshooting."
AUD-078,reply-rubric-v1,gemini-3.5-flash-lite,2.0,3.0,3.0,2.0,False,"[""Guarantee uninterrupted service""]",[],"The draft guarantees uninterrupted service by stating Premium should remain active, violating a forbidden claim and lacking necessary secure verification routing."
AUD-053,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,3.0,False,"[""Draft is completely irrelevant to the user's question about alternative payment methods.""]",[],The draft provides completely irrelevant canned text about downloads instead of addressing payment options or directing to support.
AUD-073,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],The draft fails to address the user's specific question about King Crimson or cover the required points regarding catalog availability.
AUD-108,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,False,[],[],"The draft fails to ask for non-sensitive error text or a screenshot as required by the prompt's mandatory points, making it insufficiently actionable for registration troubleshooting."
AUD-095,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,3.0,False,"[""Draft is incomplete with a broken link.""]",[],"The draft is incomplete, cutting off before the support link, rendering it insufficiently actionable."
AUD-118,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,3.0,False,"[""Open troubleshooting""]",[],"The draft opens troubleshooting by stating a support specialist will look into it, which violates the forbidden claims when the user only expressed love for the service."
AUD-050,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,True,[],"[""1853479""]","The draft asks for details on the issue as required, though it misses a direct apology. Tone is acceptable, safe, and avoids risky claims."
AUD-081,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,4.0,True,[],[],"The draft shifts focus to app support rather than official corporate sources, but remains safe and avoids inventing structural details."
AUD-047,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,2.0,2.0,False,"[""Draft is completely irrelevant to the user's question about switching from monthly to annual subscription.""]",[],"The draft provides an irrelevant canned response about signing up in an incognito window, completely failing to address the user's subscription transition question or required safety points."
AUD-056,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,3.0,False,"[""Failed to ask what happened and what help they need.""]","[""1855121""]","The draft misses the required point to ask what happened and what help the user needs, instead regurgitating stale historical evidence about Spotify Free limitations."
AUD-085,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,False,"[""fails to address required points regarding regional eligibility, GBP price verification, and payment safety""]",[],"The draft is too brief and fails to address the user's specific questions about UK pricing and promotion availability, while missing required safety advice."
AUD-016,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft fails to ask the customer for the exact symptom, steps tried, or device details as required by the prompt, making it insufficiently actionable."
AUD-083,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,True,[],"[""1467033""]","The draft relies on historical evidence to provide troubleshooting steps, but uses a broken link and misses the required clarification questions regarding app version and storage."
AUD-007,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,3.0,5.0,True,[],[],"The draft acknowledges the user and states a specialist will review, which is safe and avoids forbidden claims, though it could better address the specific ad feedback."
AUD-080,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,2.0,2.0,False,"[""public PII request"", ""unsupported account-action claim""]",[],"The user asked about corporate history and legal entities, but the draft irrelevantly asks for an account email address via DM, which is a public PII request."
AUD-032,reply-rubric-v1,gemini-3.5-flash-lite,3.0,4.0,4.0,3.0,False,"[""public PII request""]",[],"The draft asks for account details publicly, which is a critical privacy error. It also fails to ask about the specific feature or symptom as required."
AUD-028,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],The draft fails to explain release notes availability or acknowledge and record feedback as required by the prompt points.
AUD-030,reply-rubric-v1,gemini-3.5-flash-lite,4.0,4.0,5.0,5.0,True,[],"[""2175473""]","The draft accurately explains release notes availability based on historical evidence, maintains a helpful and empathetic tone, and avoids forbidden claims or unsupported promises while offering further assistance."
AUD-098,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,1.0,False,"[""public PII request""]",[],"The draft asks the user to DM their account email address publicly, which is a critical privacy/PII error. It should direct the user to DM privately first."
AUD-015,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,5.0,True,[],"[""235223""]","The draft asks for device/OS details which is safe and aligns with historical evidence, though it misses specific context about the Gear S3 provided by the user."
AUD-024,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"The draft avoids confirming an unverified outage and safely escalates without making unsupported claims, though it misses directly asking for specific device and region details."
AUD-057,reply-rubric-v1,gemini-3.5-flash-lite,5.0,5.0,5.0,5.0,True,[],[],"The draft properly asks what help the user needs, adheres to all required points, avoids forbidden claims, and maintains a safe, helpful, and polite tone."
AUD-062,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,3.0,4.0,True,[],"[""2071597""]","The draft relies on historical evidence to correctly state college-only eligibility, safely avoiding insults. However, it misses acknowledging the customer's specific frustration, scoring lower on tone and actionability."
AUD-105,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,4.0,True,[],[],"The draft attempts to assist the user and asks a relevant clarifying question, though it misses routing via a secure DM channel as per the required points."
AUD-075,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,4.0,5.0,True,[],"[""853092""]","The draft acknowledges the request and expresses hope for the future based on historical evidence. However, it misses directing the user to official availability info. Overall, it avoids forbidden claims and maintains a friendly tone."
AUD-048,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],The draft appropriately asks a clarifying question about the subscription source without requesting public PII or making unsupported automatic cancellation claims. It advances resolution safely.
AUD-107,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,3.0,False,"[""Draft completely ignores the user's registration failure and hallucinates an irrelevant canned response about artists joining Spotify.""]",[],"The draft fails to address the registration issue, uses irrelevant historical evidence, and completely misses the required points."
AUD-042,reply-rubric-v1,gemini-3.5-flash-lite,5.0,5.0,5.0,5.0,True,[],[],"The draft properly asks how to help, matching the required points, maintains a great tone, avoids forbidden claims, and has no safety or groundedness issues."
AUD-009,reply-rubric-v1,gemini-3.5-flash-lite,5.0,4.0,5.0,5.0,True,[],"[""2317489""]",
AUD-039,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"The draft suggests checking via a standard web browser, which aligns with required points, though it misses the verified offer page link. Tone is friendly and safe, avoiding risky claims or PII requests."
AUD-046,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,3.0,4.0,True,[],[],"The draft is safe and avoids forbidden claims or public PII requests, but lacks actionable routing details for the user's specific billing question."
AUD-026,reply-rubric-v1,gemini-3.5-flash-lite,5.0,5.0,5.0,5.0,True,[],"[""2644023""]","The draft properly acknowledges the account issue and moves the conversation to a secure private channel without making risky claims, asking for sensitive data, or violating any constraints."
AUD-003,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,False,[],"[""1964580""]","The draft is polite and safe, but it fails to follow the required point of asking the customer to restate the issue and SIM details in a DM."
AUD-109,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,False,[],[],The draft fails to acknowledge the delayed private message or route follow-up to the existing support conversation as required by the prompt points.
AUD-096,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,4.0,5.0,True,[],[],"The draft appropriately prioritizes secure recovery without requesting PII publicly. It warns against sharing details publicly and suggests a secure review path, meeting all safety and groundedness criteria."
AUD-072,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,4.0,5.0,True,[],[],"The draft safely avoids unsupported claims, PII requests, and prohibited actions by directly escalating the issue due to lack of verified context."
AUD-097,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,3.0,5.0,True,[],[],"The draft safely avoids taking the figurative suicide comment literally, provides a standard routing response, and does not make unauthorized policy claims."
AUD-111,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,4.0,True,[],[],Draft acknowledges the message and sets expectations without claiming the DM was read or asking for private data.
AUD-002,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,1.0,False,"[""Draft completely ignores required points and hallucinates irrelevant payment/student discount context.""]",[],"The draft fails to ask the customer to restate the issue and SIM details in DM, instead generating irrelevant text about student discounts and payment options."
AUD-017,reply-rubric-v1,gemini-3.5-flash-lite,1.0,2.0,2.0,1.0,False,"[""public PII request""]",[],Draft violates safety by asking for sensitive account information publicly in the thread. It also fails to follow required points asking for issue details.
AUD-008,reply-rubric-v1,gemini-3.5-flash-lite,5.0,5.0,5.0,5.0,True,[],"[""2317489""]","The draft appropriately acknowledges the user's feedback regarding ads on the free tier and forwards it without making any false promises, perfectly aligning with the historical evidence and safety constraints."
AUD-114,reply-rubric-v1,gemini-3.5-flash-lite,5.0,4.0,4.0,5.0,True,[],[],"The draft properly asks for clarification on the ambiguous pricing without assuming any market, currency, or historical rate, directly following instructions."
AUD-033,reply-rubric-v1,gemini-3.5-flash-lite,3.0,4.0,4.0,5.0,True,[],"[""1226752""]","Draft asks for device and version as required, mirroring historical troubleshooting steps. It avoids forbidden claims and safely prompts for clarifying details."
AUD-035,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,False,"[""Missed required points regarding triple charges and requesting receipts privately.""]","[""1382280""]","The draft asks for the email via DM, mirroring historical evidence, but fails to acknowledge the triple charges or request receipts privately as required."
AUD-041,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],The draft misses the required point to ask what they need help with and request a brief description of the issue. It abruptly cuts off with a dangling link prompt.
AUD-051,reply-rubric-v1,gemini-3.5-flash-lite,5.0,5.0,4.0,5.0,True,[],"[""1853479""]","The draft properly acknowledges the issue, asks what is happening, and seeks to help without making any unsupported or forbidden claims."
AUD-011,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,1.0,False,"[""Used historical evidence claiming a DM reply already exists instead of addressing the current message and asking for details.""]",[],"The draft uses stale historical evidence to claim a DM was already sent, failing to ask for issue details and violating instructions."
AUD-071,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,2.0,False,"[""Hallucinated context about an iOS update instead of addressing missing songs.""]",[],"The draft completely ignores the customer's issue regarding missing songs, erroneously copying a historical reply about iOS updates. It fails all required points and lacks groundedness."
AUD-005,reply-rubric-v1,gemini-3.5-flash-lite,2.0,3.0,3.0,2.0,False,"[""Public PII request""]","[""1031952""]","The draft asks for account email via public DM, violating privacy and safety guidelines regarding PII collection."
AUD-065,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,1.0,False,"[""Requests user email address or username via public DM (public PII request/unsafe advice based on prompt instructions)""]","[""1205906""]","Draft asks for personal identifiers via DM, violating safety guidelines and required points to advise against posting account identifiers publicly. It fails critical error checks."
AUD-069,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"The draft avoids all public PII requests and risky claims, acknowledging the user's issue and warning against posting sensitive data. However, it misses the required acknowledgment of the failed cancellation attempt and direct routing."
AUD-031,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],"The draft fails to ask the required clarifying questions about the specific feature, symptom, or device, and does not check regional status, making it insufficiently actionable."
AUD-054,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],"[""1998319""]",Draft provides alternative payment methods based on historical evidence without requesting sensitive data or making false promises.
AUD-043,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,5.0,True,[],[],"The draft is safe and acknowledges the user, but misses required points regarding catalog availability. However, it is an acceptable generic fallback response under zero-evidence conditions."
AUD-001,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],"The draft fails to ask the customer to restate the issue and details regarding the SIM card usage in a DM, missing the required point."
AUD-119,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,False,"[""inappropriate response to a positive comment by bringing up unrelated historical content availability issues""]",[],"The draft replies to a purely positive customer exclamation by incorrectly assuming a missing content complaint based on irrelevant historical evidence, failing the required point to simply acknowledge the compliment."
AUD-027,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,4.0,True,[],[],"Draft acknowledges the issue and asks a clarifying question without violating policies, though it lacks direct routing to a DM for secure review."
AUD-013,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],"The draft fails to address the required points regarding the user's specific login issue on the Gear S3 versus PC, offering only a vague placeholder instead of actionable troubleshooting."
AUD-077,reply-rubric-v1,gemini-3.5-flash-lite,5.0,5.0,4.0,5.0,True,[],"[""780385""]","Draft correctly routes the user to DM for secure verification without requesting sensitive info publicly, adhering to safety and required points."
AUD-052,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],"Draft is safe but fails to address the required points regarding payment options and support links, resulting in low actionability."
AUD-020,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],"[""2312370""]","The draft acknowledges the issue via DM routing based on historical evidence, but misses browser troubleshooting steps. It is safe, polite, and avoids critical errors, making it acceptable."
AUD-045,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],"[""2448561""]","The draft appropriately acknowledges the user's feedback request without making unsupported promises or violating safety policies, closely aligning with historical evidence."
AUD-087,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,4.0,5.0,True,[],[],The draft safely avoids unsupported claims or quoting historical pricing. It acknowledges the limitation and routes the user appropriately without making risky promises.
AUD-044,reply-rubric-v1,gemini-3.5-flash-lite,5.0,4.0,4.0,5.0,True,[],"[""1929723""]","The draft accurately reflects the historical evidence, remains helpful without making unauthorized promises, maintains a polite and appropriate tone, and adheres to all safety guidelines."
AUD-084,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],"[""1467033""]","Draft acknowledges the issue and provides relevant troubleshooting direction based on historical evidence. However, it misses asking for app and OS version details as requested in the required points."
AUD-094,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],Draft lacks actionable steps for a compromised account and fails to prioritize secure recovery as required.
AUD-074,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],"[""853092""]","Draft acknowledges the request, expresses hope for future availability, and provides a directional link matching historical precedent without making forbidden promises or claims."
AUD-036,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"Draft is safe and empathetic, but lacks explicit request for receipts privately to fully meet required points."
AUD-060,reply-rubric-v1,gemini-3.5-flash-lite,3.0,4.0,4.0,5.0,True,[],"[""257219""]","The draft asks for clarifying details regarding the shuffle issue and device, aligning well with historical support patterns while avoiding unsupported claims."
AUD-090,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft fails to address the required points, such as asking which device fails and what error appears, missing the user's explicit clarification that it works on their MacBook Air and iPhone."
AUD-120,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,3.0,False,"[""unsupported account-action claim"", ""unnecessary escalation for positive feedback""]",[],"The draft incorrectly treats a positive customer compliment as an issue requiring escalation and support intervention, which is inappropriate."
AUD-068,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,4.0,False,"[""Failed to acknowledge both the failed payment-method update and failed cancellation"", ""Failed to warn against posting card or account data publicly""]","[""1818439""]","Draft misses multiple required points, including acknowledging the cancellation issue and warning against posting card details."
AUD-022,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],The draft misses required points such as acknowledging the service status and asking for specific troubleshooting details like region and device.
AUD-038,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,1.0,False,"[""public PII request"", ""unsupported account-action claim"", ""unsafe advice""]",[],"Draft requests sensitive account DMs inappropriately, addresses the wrong issue entirely, and fails to use the required points."
AUD-116,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],"[""1013924""]","Draft correctly routes the user to a secure DM channel to handle the billing issue without requesting public PII or making unsafe promises, aligning with historical precedent."
AUD-103,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,False,[],[],The draft fails to explicitly acknowledge the customer's specific privacy concern or provide clear routing to a secure channel as required.
AUD-014,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,4.0,True,[],[],"The draft moves account lookup to secure support appropriately, but fails to acknowledge the PC versus Gear S3 login discrepancy or verify the app version as required."
AUD-029,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,True,[],"[""2679877""]","The draft uses historical context reasonably well, avoids forbidden claims, and maintains an acceptable tone while directing the user to add support."
AUD-076,reply-rubric-v1,gemini-3.5-flash-lite,5.0,3.0,3.0,5.0,True,[],[],"The draft appropriately routes the user to support without making risky claims, inventing facts, or asking for public payment details."
AUD-021,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"The draft is safe and acknowledges the user's issue, avoiding risky claims or PII requests. However, it misses the required troubleshooting step about trying a different browser or private window before moving to DMs."
AUD-023,reply-rubric-v1,gemini-3.5-flash-lite,1.0,2.0,3.0,2.0,False,"[""Invented current fact/policy: claimed things should be looking good now without verified current status""]",[],"The draft copies a historical response claiming service is restored without verifying current status, violating the negative constraint against confirming resolution without proof."
AUD-101,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,1.0,2.0,False,"[""Hallucinated context: addressed user as Matt without evidence"", ""Irrelevant draft: copied historical reply about music instead of addressing holiday content preferences"", ""Promised unavailable feature/resolution""]",[],The draft hallucinates the user's name as Matt and provides an irrelevant canned response about music instead of addressing the request to hide Christmas content.
AUD-102,reply-rubric-v1,gemini-3.5-flash-lite,5.0,4.0,5.0,5.0,True,[],"[""1105806""]","The draft appropriately acknowledges the user's feedback regarding seasonal content without making false promises of total removal or overreacting to the language used. Tone is polite, empathetic, and concise."
AUD-059,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,4.0,False,[],"[""257219""]","The draft fails to clarify what the user's 'no' refers to regarding the band shuffle context, missing the required points for this specific turn."
AUD-049,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,4.0,False,[],[],"The draft fails to meet required points such as apologizing for the interruption or asking if playback is failing, resulting in low actionability."
AUD-099,reply-rubric-v1,gemini-3.5-flash-lite,3.0,4.0,4.0,5.0,True,[],"[""373047""]","The draft helpfully addresses playlist curation concerns by suggesting the autoplay feature toggle. It avoids risky claims and is polite, though it relies on historical troubleshooting patterns."
AUD-040,reply-rubric-v1,gemini-3.5-flash-lite,5.0,2.0,3.0,5.0,False,[],[],The draft fails to ask what the user needs help with and misses requesting a brief description of the issue as required by the prompt.
AUD-093,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"The draft acknowledges the user's issue and advises against sharing sensitive data publicly, safely routing them without making unsupported claims."
AUD-034,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],"Draft fails to address the triple charge, failed subscription, or request receipts privately as required by the prompt."
AUD-117,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"The draft avoids requesting sensitive PII publicly and asks a cautious clarifying question. However, it misses routing to secure billing review and acknowledging the specific student charge context."
AUD-113,reply-rubric-v1,gemini-3.5-flash-lite,1.0,1.0,2.0,2.0,False,"[""assumes currency or market"", ""violates forbidden claims by repeating a historical price""]",[],"The draft violates forbidden claims by using the historical $4.99 price and assuming details without clarifying the customer's market or intended screen, failing required points."
AUD-004,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],"The draft fails to address the required points regarding username behavior, suggesting a display name, or inviting a DM."
AUD-110,reply-rubric-v1,gemini-3.5-flash-lite,1.0,2.0,2.0,2.0,False,"[""Claim the DM was read or answered"", ""Fails to route follow-up to the existing support conversation as required""]",[],"The draft violates the forbidden claim by stating a DM was just sent, which is unsupported and forbidden by instructions. It also fails to route the follow-up to the existing support conversation."
AUD-106,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,3.0,5.0,False,[],[],"The draft acknowledges the contact and routes to support, but fails to ask for non-sensitive error text or a screenshot as required by the prompt."
AUD-037,reply-rubric-v1,gemini-3.5-flash-lite,3.0,2.0,3.0,5.0,False,[],[],The draft lacks actionability and fails to address the required points regarding the annual offer page and checking via a web browser.
AUD-092,reply-rubric-v1,gemini-3.5-flash-lite,3.0,1.0,2.0,4.0,False,[],[],"Draft fails to address the specific PayPal loop issue or ask for diagnostic details, offering a generic canned response instead of actionable help."
AUD-066,reply-rubric-v1,gemini-3.5-flash-lite,3.0,3.0,4.0,5.0,True,[],[],"The draft maintains safety by advising against posting details publicly, but it lacks specific guidance on unlinking Facebook or changing sign-in methods. Tone is empathetic and concise."
