audit_id,gold_id,agreement_partition,system_blind,message,context,primary_intent,should_escalate,required_reply_points,forbidden_claims,draft_reply,evidence,human_groundedness,human_actionability,human_tone,human_safety,human_accept,human_critical_error,human_notes,annotator
AUD-070,SPOT-108,holdout,System C,@user Missing all together 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,"Hey there! That doesn't sound good. Just to check, are your songs removed from download or missing altogether?",playlist_library,true,Confirm that the songs are missing rather than merely not downloaded; ask where they are missing and whether the web player shows them; route account-library review if needed,Claim the songs can be restored; assume they were deleted; request account identifiers publicly,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-063,SPOT-098,holdout,System A,"@user If you really love students, then why is there only college students only instead for all students? Be specific next time with your stupid ass ads. I'm in high school and today you guys ruined my day trying to listen some music with premium.",,billing_subscription,true,Acknowledge the frustration; provide current verified student-plan eligibility and alternatives; record the separate complaint about misleading ad wording,Insult or scold the customer; promise high-school eligibility or Premium; invent plan rules,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""2071597"", ""conversation_id"": ""2071596"", ""message"": ""@user does your student offer for both premium and hulu apply to high school students or only college students?"", ""reply"": ""1: Hey there! Students must be actively in term at their college/university to be eligible to apply the discount. If they try to sign... 2: up during the holidays, or before their term begins they are likely to be declined. More info here: <historical-link>"", ""similarity"": 0.5158, ""quality"": 0.53, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""651747"", ""conversation_id"": ""651746"", ""message"": ""@user Are college students the only ones applicable to the student discount? how about us High School students? 😢"", ""reply"": ""1: Hi! The student discount is only available for students currently enrolled in an accredited college or... 2: university. More info at <historical-link>"", ""similarity"": 0.4466, ""quality"": 0.4911, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""1264687"", ""conversation_id"": ""1264685"", ""message"": ""@user why do only college students get a discount? what about high school students? we enjoy music too...☹️😥"", ""reply"": ""Hi! This isn't possible right now. Don't worry, we'll let the right folks know this is something you'd like to see"", ""similarity"": 0.4584, ""quality"": 0.2217, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-112,SPOT-183,calibration,System C,@user 4.990 atau 49.990?,,billing_subscription,true,Clarify currency country and which price or screen the customer means; offer appropriate language support,Choose one price; assume currency or market; repeat a 2017 price,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-104,SPOT-168,holdout,System B,"@user Do you really? Why is there no Disconnect from Facebook button, why do we need to 'log a ticket'. Good luck with GDPR.",,account_access,true,Acknowledge the Facebook-disconnect and GDPR concern; route privacy-policy review through a secure official channel,Dismiss GDPR; claim compliance; ask for account data publicly; quote a stale disconnect policy,Hi! We can help with that. Can you DM us your account's email address? We'll take look backstage 🔍 /PI,"[{""pair_id"": ""609612"", ""conversation_id"": ""609611"", ""message"": ""@user is there any way to disconnect facebook from a spotify account?"", ""reply"": ""Hi! We can help with that. Can you DM us your account's email address? We'll take look backstage 🔍 /PI <historical-link>"", ""similarity"": 0.4545, ""quality"": 0.2933, ""weak_intent"": ""account_access""}]",,,,,,,,
AUD-012,SPOT-020,holdout,System A,@user can I please get some help,,other,true,Ask the customer to describe the issue including the relevant feature error and device; tell them not to post passwords payment details or other sensitive data publicly,Do not guess the problem; do not claim access to the account; do not ask for a password,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""979822"", ""conversation_id"": ""979821"", ""message"": ""@user Can i get some help please"", ""reply"": ""Hey! We've already replied to your DM. Let's continue chatting there"", ""similarity"": 1.0, ""quality"": 0.0122, ""weak_intent"": ""other""}, {""pair_id"": ""962698"", ""conversation_id"": ""962696"", ""message"": ""@user Need some help please"", ""reply"": ""Hi Jay. We've just sent a DM your way. Let's carry on chatting there"", ""similarity"": 0.7658, ""quality"": 0.0122, ""weak_intent"": ""other""}, {""pair_id"": ""917351"", ""conversation_id"": ""917350"", ""message"": ""@user help me please"", ""reply"": ""Hi Devin, sorry for the wait. We've just dropped you a DM. Let's carry on there"", ""similarity"": 0.7154, ""quality"": 0.0336, ""weak_intent"": ""other""}]",,,,,,,,
AUD-088,SPOT-147,calibration,System C,@user no it works fine on my MacBook Air and on iPhone,That's odd. Is this also happening on a different device? Keep us in the loop,other,true,Acknowledge that the issue does not occur on the MacBook Air or iPhone; ask which device fails and what behavior or error appears there,Do not assume the failing device or underlying problem; do not claim an account investigation occurred,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-078,SPOT-120,holdout,System A,.@user - Changed my CC today (nov 29) & it says everything is good for Dec 29. Does that mean I will not have my subscription until then? I need music everyday - we are a restaurant.,,billing_subscription,true,Route secure verification of current subscription status renewal date and card update; explain only verified date semantics; avoid giving commercial-use approval,Guarantee uninterrupted service; state the card update succeeded; say a personal subscription authorizes restaurant playback; request payment details publicly,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""780385"", ""conversation_id"": ""780384"", ""message"": ""@user I cancelled my subscription at the end of sept and was charged today for my subscription."", ""reply"": ""Hey Corey! Can you DM us your account's email address and username? We'll take a look backstage /SU <historical-link>"", ""similarity"": 0.2768, ""quality"": 0.2875, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""2039262"", ""conversation_id"": ""2039261"", ""message"": ""@user my Premium subscription has stopped & doesn't restart until end of month. Can you help?"", ""reply"": ""Hi Chris! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU <historical-link>"", ""similarity"": 0.2585, ""quality"": 0.4908, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""2071740"", ""conversation_id"": ""2071739"", ""message"": "".@user why is my student subscription not working for Hulu?"", ""reply"": ""Hey! What's happening exactly? Can you also DM us your account's username or email address? We'll check things out for you /YM <historical-link>"", ""similarity"": 0.2365, ""quality"": 0.52, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-053,SPOT-091,holdout,System B,@user how i'm gonna pay to subscribe premium if i don't have any credit card or molpoint?,,billing_subscription,true,Explain that payment options depend on country and current plan terms; direct them to the official payment-method page or secure support; do not request financial data publicly,Claim an unverified method is accepted; ask for card or wallet details publicly; promise subscription activation,Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at  They should help with this,"[{""pair_id"": ""2165586"", ""conversation_id"": ""2165583"", ""message"": ""@user Im a premium subscriber"", ""reply"": ""Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at <historical-link> They should help with this"", ""similarity"": 0.3963, ""quality"": 0.425, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-073,SPOT-112,calibration,System C,@user I was wondering what are the chances of Spotify adding King Crimson’s discography/studio albums.,,content_catalog,false,Acknowledge the request for King Crimson albums; explain catalog availability can change; direct them to official availability information or request channels,Promise the discography will be added; give odds or a date; state a specific rights issue as fact,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-029,SPOT-043,calibration,System B,@user where can i find the release notes of last updates? can't find it :/,,product_feedback,false,Explain accurately whether version-specific release notes are available and where official update information can be found; acknowledge that detailed notes would be useful and record the feedback,Do not invent release notes or a link; do not promise future publication; do not claim a specific change was in an update without evidence,Hey Mario! You can add your support at  to help make it happen. For anything else let us know,"[{""pair_id"": ""2679877"", ""conversation_id"": ""2679876"", ""message"": ""@user Where can I find release notes for updates? “We’re always making changes and improvements” is all I see, ever. iOS 11"", ""reply"": ""Hey Mario! You can add your support at <historical-link> to help make it happen. For anything else let us know"", ""similarity"": 0.4474, ""quality"": 0.2139, ""weak_intent"": ""content_catalog""}]",,,,,,,,
AUD-076,SPOT-120,holdout,System C,.@user - Changed my CC today (nov 29) & it says everything is good for Dec 29. Does that mean I will not have my subscription until then? I need music everyday - we are a restaurant.,,billing_subscription,true,Route secure verification of current subscription status renewal date and card update; explain only verified date semantics; avoid giving commercial-use approval,Guarantee uninterrupted service; state the card update succeeded; say a personal subscription authorizes restaurant playback; request payment details publicly,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-021,SPOT-038,holdout,System A,Hey @user.. I’ve been trying to update my payment for my premium account but every time I hit continue the loading wheel just spins endlessly. Help me out here..,,billing_subscription,true,Acknowledge that the payment-update page spins after Continue; suggest a different browser or private window and basic browser checks; if it persists move the account and payment review to a private secure channel,Do not claim the payment method was updated or charged; do not ask for full card details or a password; do not guarantee the browser step will work,I’m sorry you’re dealing with this. A support specialist should review it securely—please don’t post account or payment details publicly.,"[{""pair_id"": ""2312370"", ""conversation_id"": ""2312369"", ""message"": ""@user Help @user I am trying to update my payment method for my premium subscription but it’s not going through the wheel just keeps spinning I have been trying for four days...."", ""reply"": ""Hey Kelli, help's arrived! We've just replied to your DM. Let's carry on chatting there"", ""similarity"": 0.3624, ""quality"": 0.0492, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""2059017"", ""conversation_id"": ""2059016"", ""message"": ""@user Hey I've tried to update my payment and continue my premium subscription but every single card I use doesn't work at all. <URL>"", ""reply"": ""Hey there! Help's arrived. Can you DM us your account's email address or username? We'll take a look backstage /KM <historical-link>"", ""similarity"": 0.3292, ""quality"": 0.3167, ""weak_intent"": ""billing_subscription""}, {""pair_id"": ""2350985"", ""conversation_id"": ""2350984"", ""message"": ""@user Having issues updating my payment method on both mobile and desktop sites. Progress wheel keeps spinning when I hit \""continue\"". Help?"", ""reply"": ""Hey there! Could you try using an incognito window? Let us know how it goes"", ""similarity"": 0.2892, ""quality"": 0.5058, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-023,SPOT-039,calibration,System B,@user is down 😫,,playback_technical,false,Acknowledge the apparent outage; refer only to verified current service status; ask whether it is still happening and collect region device and symptom details if so,Do not confirm a broad outage or say it is resolved without verification; do not invent a cause,"Hey! Things should be looking good now, but give our Artist team a shout at  if you still need help 🙂 /N","[{""pair_id"": ""1807095"", ""conversation_id"": ""1807094"", ""message"": ""@user is down ⬇️ #Spotify <URL>"", ""reply"": ""Hey! Things should be looking good now, but give our Artist team a shout at <historical-link> if you still need help 🙂 /N"", ""similarity"": 0.4279, ""quality"": 0.2353, ""weak_intent"": ""other""}]",,,,,,,,
AUD-108,SPOT-171,holdout,System A,I.CANT.REGISTER!!! 😭 @user <URL>,,account_access,true,Acknowledge registration failure and route account setup help; ask only for non-sensitive error text or screenshot,Ask for password or email publicly; claim registration succeeded,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""809602"", ""conversation_id"": ""809601"", ""message"": ""What? @user is not on @user!!!"", ""reply"": ""We'd love to have them on Spotify! Hopefully we will in the future. Check this out: <historical-link>"", ""similarity"": 0.3723, ""quality"": 0.3764, ""weak_intent"": ""other""}, {""pair_id"": ""1834158"", ""conversation_id"": ""1834157"", ""message"": ""@user @user <URL>"", ""reply"": ""1: Hi Mike! Help's here. We can confirm that the track is currently unavailable on Spotify. Sometimes content gets temporarily removed... 2: due to licensing changes. Having said that, it's odd that you're still hearing audio. Can you check if it's the same while streaming?"", ""similarity"": 0.2673, ""quality"": 0.89, ""weak_intent"": ""other""}, {""pair_id"": ""1533098"", ""conversation_id"": ""1533094"", ""message"": ""Yo, how does a guy register for @user ?"", ""reply"": ""Hi there! It’s great to hear you’re looking to put music on Spotify. You can find all the info you need at: <historical-link> 🙂"", ""similarity"": 0.3033, ""quality"": 0.2469, ""weak_intent"": ""other""}]",,,,,,,,
AUD-095,SPOT-163,holdout,System B,"@user - Some lovely human hacked my account and changed my login credentials. Luckily this morning I had an antiquated circle called a cd, but I won’t last long without infinite variety. Help! #hacked #spotify #help",,account_access,true,Prioritize secure compromised-account recovery and advise against posting credentials,Ask for password or email publicly; claim access was restored; minimize compromise,"Hey Kareem, we're sorry to hear that. Check out  for what to do next","[{""pair_id"": ""827520"", ""conversation_id"": ""827519"", ""message"": ""@user my account was hacked and the new user changed the email address and I can't live without music please help"", ""reply"": ""Hey Kareem, we're sorry to hear that. Check out <historical-link> for what to do next"", ""similarity"": 0.2482, ""quality"": 0.3453, ""weak_intent"": ""account_access""}]",,,,,,,,
AUD-118,SPOT-193,holdout,System C,@user Thank you SPOTIFY!!!! I love you!,,other,false,Reply with a concise appreciative acknowledgement,Open troubleshooting; request account details; claim a support action,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-050,SPOT-080,holdout,System B,Hello? @user?? You're not working and I have 20 minutes to dance around my lounge room before I have to go to work!!!,,playback_technical,false,Apologize for the interruption; ask whether playback is still failing; if so request device app and network details or direct them to a verified status page,Claim everything is now working; assert a confirmed outage without live evidence; make light of the urgency,Hey there! Can you let us know what's happening exactly? We'll see what we can suggest,"[{""pair_id"": ""1853479"", ""conversation_id"": ""1853471"", ""message"": "".@user that was NOT 30 minutes"", ""reply"": ""Hey there! Can you let us know what's happening exactly? We'll see what we can suggest"", ""similarity"": 0.2504, ""quality"": 0.3472, ""weak_intent"": ""other""}]",,,,,,,,
AUD-081,SPOT-129,calibration,System A,"@user I'm interested in your company's history but what's up with all these versions of the Spotify company? AB, Limited, Technology S.A, etc. I'd love to get some clarity on this topic!",,other,true,Direct the company-history question to official corporate or press sources; state only verified relationships among the legal entities,Invent the corporate structure; give legal advice; imply the support agent can authoritatively explain unverified entities,"Thanks for flagging this. I don’t have enough verified context to resolve it safely here, so I’m escalating it to a support specialist.","[{""pair_id"": ""1663706"", ""conversation_id"": ""1663705"", ""message"": ""@user Can I use Spotify family in company? Do you send invoice for company? Thank you"", ""reply"": ""Hi there! Can you fire over your account's email address via DM? We'll see what we can suggest /NY <historical-link>"", ""similarity"": 0.3264, ""quality"": 0.2856, ""weak_intent"": ""other""}, {""pair_id"": ""1828726"", ""conversation_id"": ""1828725"", ""message"": ""Idk what technology @user uses when you put your playlist on shuffle but I can tell you 45% of the time my music does not shuffle 😑😐😐"", ""reply"": ""Hey! What device, operating system, and Spotify version are you on? By any chance, are you listening on shuffle via Spotify Connect?"", ""similarity"": 0.284, ""quality"": 0.4367, ""weak_intent"": ""playlist_library""}, {""pair_id"": ""1816353"", ""conversation_id"": ""1816352"", ""message"": ""@user I'd rather sit on the phone with a telecommunications company than have to deal with this shit"", ""reply"": ""Hey! You can access your artist profile with Spotify for Artists. If you don’t have access yet, request it at <historical-link>"", ""similarity"": 0.214, ""quality"": 0.2469, ""weak_intent"": ""other""}]",,,,,,,,
AUD-047,SPOT-079,calibration,System B,"@user @user hi, I've got a monthly subscription which renews on 9th Dec but have just taken advantage of your annual sub for £99 offer. Do I need to cancel my monthly or does that automatically stop?",,billing_subscription,true,Route a secure review of how the annual offer affects the monthly renewal; tell the customer not to post account or payment details; advise against cancelling until current terms are checked,Guarantee the monthly plan stops automatically; claim cancellation or refund completion; request account identifiers publicly,Hey! Can you try signing up at  using an incognito window? Let us know if it makes a difference,"[{""pair_id"": ""1336237"", ""conversation_id"": ""1336236"", ""message"": ""@user why can't I pay monthly for Premium? It's only showing me annual subscription and I don't want to pay an entire year in advance"", ""reply"": ""Hey! Can you try signing up at <historical-link> using an incognito window? Let us know if it makes a difference"", ""similarity"": 0.3905, ""quality"": 0.5778, ""weak_intent"": ""billing_subscription""}]",,,,,,,,
AUD-056,SPOT-092,holdout,System B,nako spotify,,other,true,Ask what happened and what help they need; offer an appropriate language-support route if needed,Claim a DM was sent; claim the issue is resolved; invent the meaning of the phrase,ツイート拝見しました。Freeユーザーでスマホをご利用の場合はシャッフル再生となりますが、時間制限なしでお楽しみいただけます。タブレットやパソコンではシャッフルなしで15時間/30日までご利用いただけます。詳しくはこちら→,"[{""pair_id"": ""1855121"", ""conversation_id"": ""1855119"", ""message"": ""@user ただspotifyは無料会員だと、シャッフルでしか再生できなかったり途中で関係ない曲入れられたり早送りが５曲？くらいまでしかできなくて慣れるまで少しイライラします笑"", ""reply"": ""ツイート拝見しました。Freeユーザーでスマホをご利用の場合はシャッフル再生となりますが、時間制限なしでお楽しみいただけます。タブレットやパソコンではシャッフルなしで15時間/30日までご利用いただけます。詳しくはこちら→ <historical-link>"", ""similarity"": 0.3763, ""quality"": 0.0508, ""weak_intent"": ""other""}]",,,,,,,,
AUD-085,SPOT-138,holdout,System C,"@user I have read on the <URL> website that they are offering a $0.99 a month introductory rate for the first three months.I cant find any equivalent in GB £ sterling for people in the UK. Does the offer exist to us, How much is it in pounds? thanks",,billing_subscription,true,Acknowledge the UK promotion and GBP-price question; verify current regional eligibility and price through an official source or billing specialist; advise against sharing payment details publicly,Do not quote a 2017 price or say the offer is available; do not claim the account or promotion was checked,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-016,SPOT-033,calibration,System C,@user I am still having issues,,other,true,Ask the customer to restate the issue exact symptom and steps already tried and provide device or account area as relevant; use thread context if it can be recovered,Do not assume which issue persists; do not repeat unverified troubleshooting; do not claim resolution,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
AUD-083,SPOT-135,holdout,System B,@user hi. Every time I open the Spotify app on my iPad it redownloads all my songs again. Is there a way to fix this?,,playback_technical,false,"Acknowledge that downloads are repeatedly fetched again; offer current iPad download and offline troubleshooting; ask for app version, iPadOS version, and available storage if it continues",Do not claim a known cause or guaranteed fix; do not reuse the historical link as current without verification,"1: Hey John, sorry to hear that! Check out the steps under “Downloads unexpectedly removed”... 2: at  They should help with this","[{""pair_id"": ""1467033"", ""conversation_id"": ""1467032"", ""message"": ""@user I get this problem from time to time. I need to redownload all the songs that I've already downloaded months ago. ?? #Spotify"", ""reply"": ""1: Hey John, sorry to hear that! Check out the steps under “Downloads unexpectedly removed”... 2: at <historical-link> They should help with this"", ""similarity"": 0.366, ""quality"": 0.4736, ""weak_intent"": ""playback_technical""}]",,,,,,,,
AUD-007,SPOT-018,holdout,System C,ok so Spotify explain. 30 mins no advertising but after clicking on a new playlist there is suddenly another commercial I AM NOT PAYING FOR PREMIUM STOP TRYING @user,,product_feedback,false,Acknowledge frustration with an ad appearing after switching playlists; explain the Free-tier ad experience cautiously and note that playback actions can affect sessions only if verified; record the feedback,Do not promise exactly 30 uninterrupted ad-free minutes in every interaction; do not claim ads were disabled; do not pressure the customer to buy Premium,Thanks for reaching out. A support specialist will take a look.,[],,,,,,,,
